date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:43	12268/12268	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202026%2017:33:16%20GMT	https://www.rick-fairlamb.co.uk/	site/www.rick-fairlamb.co.uk/index.html	(from )
18:41:43	9168/9168	---MCZ	200	added ('OK')	text/css	etag:W/%2259e9fc8d-23d0%22	https://www.rick-fairlamb.co.uk/wp-content/themes/f8-static/style.css	site/www.rick-fairlamb.co.uk/wp-content/themes/f8-static/style.css	(from https://www.rick-fairlamb.co.uk/)
18:41:44	9559/9559	---MCZ	200	added ('OK')	text/css	etag:W/%2259e9fc8d-2557%22	https://www.rick-fairlamb.co.uk/wp-content/themes/f8-static/css/screen.css	site/www.rick-fairlamb.co.uk/wp-content/themes/f8-static/css/screen.css	(from https://www.rick-fairlamb.co.uk/)
18:41:44	1353/1353	---MCZ	200	added ('OK')	text/css	etag:W/%2259e9fc8d-549%22	https://www.rick-fairlamb.co.uk/wp-content/themes/f8-static/css/print.css	site/www.rick-fairlamb.co.uk/wp-content/themes/f8-static/css/print.css	(from https://www.rick-fairlamb.co.uk/)
18:41:44	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:19%20GMT	http://www.rick-fairlamb.co.uk/xmlrpc.php	site/www.rick-fairlamb.co.uk/xmlrpc.3.delayed	(from https://www.rick-fairlamb.co.uk/)
18:41:44	14052/14052	---MCZ	200	added ('OK')	text/xml	etag:W/%228f6b0c3d657b67a5cf494d08aabfb6ad%22	https://www.rick-fairlamb.co.uk/feed/	site/www.rick-fairlamb.co.uk/feed/index.html	(from https://www.rick-fairlamb.co.uk/)
18:41:44	42/42	---MCZ	200	added ('OK')	text/plain	date:Sun,%2020%20Sep%202026%2017:33:19%20GMT	https://www.rick-fairlamb.co.uk/xmlrpc.php	site/www.rick-fairlamb.co.uk/xmlrpc.php	(from https://www.rick-fairlamb.co.uk/)
18:41:45	55746/55746	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259e9fc8d-d9c2%22	https://www.rick-fairlamb.co.uk/wp-content/themes/f8-static/js/jquery-1.2.5.min.js	site/www.rick-fairlamb.co.uk/wp-content/themes/f8-static/js/jquery-1.2.5.min.js	(from https://www.rick-fairlamb.co.uk/)
18:41:45	4437/4437	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259e9fc8d-1155%22	https://www.rick-fairlamb.co.uk/wp-content/plugins/photo-galleria/js/jquery.galleria.pack.js	site/www.rick-fairlamb.co.uk/wp-content/plugins/photo-galleria/js/jquery.galleria.pack.js	(from https://www.rick-fairlamb.co.uk/)
18:41:46	378/378	---MCZ	200	added ('OK')	text/css	etag:W/%2217a-55bfa99de7d40%22	https://www.rick-fairlamb.co.uk/wp-content/plugins/photo-galleria/css/galleria-mod.css	site/www.rick-fairlamb.co.uk/wp-content/plugins/photo-galleria/css/galleria-mod.css	(from https://www.rick-fairlamb.co.uk/)
18:41:46	566/566	---MCZ	200	added ('OK')	text/css	etag:W/%22236-55bfa99de7d40%22	https://www.rick-fairlamb.co.uk/wp-content/plugins/photo-galleria/css/galleria.css	site/www.rick-fairlamb.co.uk/wp-content/plugins/photo-galleria/css/galleria.css	(from https://www.rick-fairlamb.co.uk/)
18:41:46	308/308	---MCZ	200	added ('OK')	application/javascript	etag:W/%22134-55bfa9a0c4400%22	https://www.rick-fairlamb.co.uk/wp-includes/js/l10n.js?ver=20101110	site/www.rick-fairlamb.co.uk/wp-includes/js/l10na17a.js	(from https://www.rick-fairlamb.co.uk/)
18:41:46	91363/91363	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259e9fc90-164e3%22	https://www.rick-fairlamb.co.uk/wp-includes/js/jquery/jquery.js?ver=1.6.1	site/www.rick-fairlamb.co.uk/wp-includes/js/jquery/jquery51a2.js	(from https://www.rick-fairlamb.co.uk/)
18:41:47	882/882	---MCZ	200	added ('OK')	text/xml	date:Sun,%2020%20Sep%202026%2017:33:21%20GMT	https://www.rick-fairlamb.co.uk/xmlrpc.php?rsd	site/www.rick-fairlamb.co.uk/xmlrpc0db0.php	(from https://www.rick-fairlamb.co.uk/)
18:41:47	1053/1053	---MCZ	200	added ('OK')	text/xml	etag:W/%2259e9fc90-41d%22	https://www.rick-fairlamb.co.uk/wp-includes/wlwmanifest.xml	site/www.rick-fairlamb.co.uk/wp-includes/wlwmanifest.xml	(from https://www.rick-fairlamb.co.uk/)
18:41:47	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:22%20GMT	http://www.rick-fairlamb.co.uk/wp-content/plugins/cforms/styling/minimal.css	site/www.rick-fairlamb.co.uk/wp-content/plugins/cforms/styling/minimal.css	(from https://www.rick-fairlamb.co.uk/)
18:41:47	9605/9605	---MCZ	200	added ('OK')	text/css	etag:W/%2259e9fc8d-2585%22	https://www.rick-fairlamb.co.uk/wp-content/plugins/cforms/styling/minimal.css	site/www.rick-fairlamb.co.uk/wp-content/plugins/cforms/styling/minimal.css	(from https://www.rick-fairlamb.co.uk/)
18:41:47	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:22%20GMT	http://www.rick-fairlamb.co.uk/wp-content/plugins/cforms/js/cforms.js	site/www.rick-fairlamb.co.uk/wp-content/plugins/cforms/js/cforms.js	(from https://www.rick-fairlamb.co.uk/)
18:41:48	17700/17700	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259e9fc8d-4524%22	https://www.rick-fairlamb.co.uk/wp-content/plugins/cforms/js/cforms.js	site/www.rick-fairlamb.co.uk/wp-content/plugins/cforms/js/cforms.js	(from https://www.rick-fairlamb.co.uk/)
18:41:48	2538/2538	---M--	200	added ('OK')	image/png	etag:%2259e9fc8d-9ea%22	https://www.rick-fairlamb.co.uk/wp-content/themes/f8-static/images/logo.png	site/www.rick-fairlamb.co.uk/wp-content/themes/f8-static/images/logo.png	(from https://www.rick-fairlamb.co.uk/)
18:41:48	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:23%20GMT	http://www.rick-fairlamb.co.uk/portfolio	site/www.rick-fairlamb.co.uk/portfolio	(from https://www.rick-fairlamb.co.uk/)
18:41:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:23%20GMT	https://www.rick-fairlamb.co.uk/portfolio	site/www.rick-fairlamb.co.uk/portfolio	(from https://www.rick-fairlamb.co.uk/)
18:41:49	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:23%20GMT	http://www.rick-fairlamb.co.uk/category/sketchbook	site/www.rick-fairlamb.co.uk/category/sketchbook	(from https://www.rick-fairlamb.co.uk/)
18:41:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:23%20GMT	https://www.rick-fairlamb.co.uk/category/sketchbook	site/www.rick-fairlamb.co.uk/category/sketchbook	(from https://www.rick-fairlamb.co.uk/)
18:41:49	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:24%20GMT	http://www.rick-fairlamb.co.uk/bio	site/www.rick-fairlamb.co.uk/bio	(from https://www.rick-fairlamb.co.uk/)
18:41:49	10540/10540	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202026%2017:33:24%20GMT	https://www.rick-fairlamb.co.uk/portfolio/	site/www.rick-fairlamb.co.uk/portfolio/index.html	(from https://www.rick-fairlamb.co.uk/)
18:41:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:24%20GMT	https://www.rick-fairlamb.co.uk/bio	site/www.rick-fairlamb.co.uk/bio	(from https://www.rick-fairlamb.co.uk/)
18:41:50	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:24%20GMT	http://www.rick-fairlamb.co.uk/contact	site/www.rick-fairlamb.co.uk/contact	(from https://www.rick-fairlamb.co.uk/)
18:41:50	27788/27788	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202026%2017:33:24%20GMT	https://www.rick-fairlamb.co.uk/category/sketchbook/	site/www.rick-fairlamb.co.uk/category/sketchbook/index.html	(from https://www.rick-fairlamb.co.uk/)
18:41:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:25%20GMT	https://www.rick-fairlamb.co.uk/contact	site/www.rick-fairlamb.co.uk/contact	(from https://www.rick-fairlamb.co.uk/)
18:41:50	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:25%20GMT	http://www.rick-fairlamb.co.uk/wp-content/uploads/2011/08/Night-Train-welcome-page2-950x418.jpg	site/www.rick-fairlamb.co.uk/wp-content/uploads/2011/08/Night-Train-welcome-page2-950x418.jpg	(from https://www.rick-fairlamb.co.uk/)
18:41:51	10284/10284	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202026%2017:33:25%20GMT	https://www.rick-fairlamb.co.uk/bio/	site/www.rick-fairlamb.co.uk/bio/index.html	(from https://www.rick-fairlamb.co.uk/)
18:41:51	11562/11562	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202026%2017:33:25%20GMT	https://www.rick-fairlamb.co.uk/contact/	site/www.rick-fairlamb.co.uk/contact/index.html	(from https://www.rick-fairlamb.co.uk/)
18:41:51	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202026%2017:33:26%20GMT	http://www.rick-fairlamb.co.uk/wp-content/uploads/2024/06/Lloyds-Take-a-Plunge-1-crops-310x150.jpg	site/www.rick-fairlamb.co.uk/wp-content/uploads/2024/06/Lloyds-Take-a-Plunge-1-crops-310x150.jpg	(from https://www.rick-fairlamb.co.uk/)
18:41:52	9395/9395	---M--	200	added ('OK')	image/jpeg	etag:%226679b83d-24b3%22	https://www.rick-fairlamb.co.uk/wp-content/uploads/2024/06/Lloyds-Take-a-Plunge-1-crops-310x150.jpg	site/www.rick-fairlamb.co.uk/wp-content/uploads/2024/06/Lloyds-Take-a-Plunge-1-crops-310x150.jpg	(from https://www.rick-fairlamb.co.uk/)
18:41:52	88948/88948	---M--	200	added ('OK')	image/jpeg	etag:%2259e9fc8f-15b74%22	https://www.rick-fairlamb.co.uk/wp-content/uploads/2011/08/Night-Train-welcome-page2-950x418.jpg	site/www.rick-fairlamb.co.uk/wp-content/uploads/2011/08/Night-Train-welcome-page2-950x418.jpg	(from https://www.rick-fairlamb.co.uk/)
